fips,county,year,netmigration_1864,pop_1864,rate_1864,netmigration_total,pop_total,rate_total
055,Huerfano County,2004,-389,7729,-3.86,-298,7729,-3.86
057,Jackson County,2004,-52,1181,-4.4,-67,1521,-4.4
059,Jefferson County,2004,-3589,524876,-0.67,-3523,524876,-0.67
061,Kiowa County,2004,-15,1523,-0.92,-14,1523,-0.92
063,Kit Carson County,2004,6,918,0.65,54,8257,0.65
065,Lake County,2004,-122,4944,-2.47,-183,7416,-2.47
067,La Plata County,2004,173,34993,0.49,232,46926,0.49
069,Larimer County,2004,2174,187173,1.16,3174,273269,1.16
071,Las Animas County,2004,-570,15700,-2.41,-379,15700,-2.41
073,Lincoln County,2004,-156,5689,-2.74,-162,5907,-2.74
075,Logan County,2004,-185,18738,-0.99,-219,22181,-0.99
077,Mesa County,2004,1360,87595,1.55,1966,126626,1.55
079,Mineral County,2004,3,316,0.95,8,842,0.95
081,Moffat County,2004,-139,13063,-0.85,-111,13063,-0.85
083,Montezuma County,2004,57,9741,0.59,144,24607,0.59
085,Montrose County,2004,209,20355,1.03,371,36131,1.03
087,Morgan County,2004,-142,27912,-0.47,-131,27912,-0.47
089,Otero County,2004,-166,17940,-0.93,-181,19561,-0.93
091,Ouray County,2004,89,3285,2.71,109,4023,2.71
093,Park County,2004,57,15913,0.3,47,15913,0.3
095,Phillips County,2004,176,4580,2.07,95,4580,2.07
097,Pitkin County,2004,-331,16077,-1.95,-314,16077,-1.95
099,Prowers County,2004,-198,11082,-1.79,-244,13656,-1.79
101,Pueblo County,2004,196,88870,0.22,328,148720,0.22
103,Rio Blanco County,2004,11,3248,0.34,20,5904,0.34
105,Rio Grande County,2004,153,12112,1.26,162,12824,1.26
107,Routt County,2004,-2,14196,-0.01,-3,21293,-0.01
109,Saguache County,2004,-65,4610,-1.41,-88,6240,-1.41
111,San Juan County,2004,15,561,2.68,17,635,2.68
113,San Miguel County,2004,-154,7027,-0.65,-46,7027,-0.65
115,Sedgwick County,2004,-70,1901,-3.68,-96,2606,-3.68
117,Summit County,2004,-427,26707,-1.15,-306,26707,-1.15
119,Teller County,2004,-80,14335,-0.56,-124,22218,-0.56
121,Washington County,2004,-89,5060,-1.21,-61,5060,-1.21
123,Weld County,2004,3059,154662,1.98,4234,214069,1.98
125,Yuma County,2004,-675,9885,-2.47,-244,9885,-2.47
000,Colorado,2005,10705,3622355,0.3,13779,4662534,0.3
001,Adams County,2005,3088,288231,1.07,4236,395384,1.07
003,Alamosa County,2005,-103,10165,-1.01,-156,15395,-1.01
005,Arapahoe County,2005,-370,339895,-0.11,-575,528214,-0.11
007,Archuleta County,2005,130,8056,1.61,184,11402,1.61
009,Baca County,2005,-46,3771,-1.22,-50,4098,-1.22
011,Bent County,2005,-130,6261,-1.76,-110,6261,-1.76
013,Boulder County,2005,-960,108205,-0.89,-2510,282910,-0.89
014,Broomfield County,2005,834,28972,2.88,1389,48251,2.88
015,Chaffee County,2005,47,12309,0.38,65,17022,0.38
017,Cheyenne County,2005,-22,1871,-1.18,-24,2041,-1.18
019,Clear Creek County,2005,-53,4610,-1.15,-108,9392,-1.15
021,Conejos County,2005,-50,8174,-0.61,-52,8500,-0.61
023,Costilla County,2005,-116,3695,-3.03,-112,3695,-3.03
025,Crowley County,2005,13,5437,0.24,13,5437,0.24
027,Custer County,2005,47,2838,1.66,67,4045,1.66
029,Delta County,2005,-27,19369,-0.14,-41,29412,-0.14
031,Denver County,2005,-6998,559459,-1.24,-6929,559459,-1.24
033,Dolores County,2005,3,1133,0.26,5,1888,0.26
035,Douglas County,2005,4983,168566,2.96,7226,244442,2.96
037,Eagle County,2005,135,47278,0.24,113,47278,0.24
039,Elbert County,2005,34,7208,0.47,105,22259,0.47
041,El Paso County,2005,3809,388908,0.98,5576,569322,0.98
043,Fremont County,2005,1,23224,-0,-2,46447,-0
045,Garfield County,2005,495,45236,1.09,539,49256,1.09
047,Gilpin County,2005,34,4892,0.65,32,4892,0.65
049,Grand County,2005,-78,12318,-0.63,-88,13897,-0.63
051,Gunnison County,2005,220,14473,1.02,148,14473,1.02
053,Hinsdale County,2005,-40,813,-2.95,-24,813,-2.95
055,Huerfano County,2005,168,7823,1.64,128,7823,1.64
057,Jackson County,2005,-20,1148,-1.74,-26,1492,-1.74
059,Jefferson County,2005,-4283,523517,-0.8,-4204,523517,-0.8
061,Kiowa County,2005,27,1543,1.56,24,1543,1.56
063,Kit Carson County,2005,-31,830,-3.74,-299,7998,-3.74
065,Lake County,2005,-147,4846,-3.03,-221,7284,-3.03
067,La Plata County,2005,394,35403,1.11,531,47713,1.11
069,Larimer County,2005,559,188987,0.3,816,275873,0.3
071,Las Animas County,2005,-213,15570,-0.91,-142,15570,-0.91
073,Lincoln County,2005,-113,5590,-2.02,-117,5787,-2.02
075,Logan County,2005,-96,18601,-0.52,-114,22088,-0.52
077,Mesa County,2005,1280,89254,1.43,1850,128999,1.43
079,Mineral County,2005,-10,245,-4.09,-33,806,-4.09
081,Moffat County,2005,-224,12965,-1.38,-179,12965,-1.38
083,Montezuma County,2005,-19,9350,-0.2,-50,24603,-0.2
085,Montrose County,2005,371,20797,1.78,660,36997,1.78
087,Morgan County,2005,-178,27947,-0.59,-164,27947,-0.59
089,Otero County,2005,-226,17796,-1.27,-246,19370,-1.27
091,Ouray County,2005,40,3334,1.2,49,4084,1.2
093,Park County,2005,49,16061,0.25,40,16061,0.25
095,Phillips County,2005,-116,4548,-1.39,-63,4548,-1.39
097,Pitkin County,2005,-66,16136,-0.39,-63,16136,-0.39
099,Prowers County,2005,-225,11014,-2.04,-276,13510,-2.04
101,Pueblo County,2005,477,89197,0.53,802,149969,0.53
103,Rio Blanco County,2005,-54,3051,-1.77,-103,5818,-1.77
105,Rio Grande County,2005,-168,11916,-1.41,-179,12696,-1.41
107,Routt County,2005,-7,13652,-0.05,-11,21453,-0.05
109,Saguache County,2005,4,5028,0.08,5,6284,0.08
111,San Juan County,2005,6,553,1.09,7,645,1.09
113,San Miguel County,2005,-130,7045,-0.55,-39,7045,-0.55
115,Sedgwick County,2005,-10,1842,-0.54,-14,2578,-0.54
117,Summit County,2005,-527,26623,-1.42,-377,26623,-1.42
119,Teller County,2005,121,14641,0.83,186,22505,0.83
121,Washington County,2005,-92,4995,-1.26,-63,4995,-1.26
123,Weld County,2005,4896,161418,3.03,6777,223432,3.03
125,Yuma County,2005,-83,9892,-0.3,-30,9892,-0.3
000,Colorado,2006,33326,3686915,0.9,42896,4745660,0.9
001,Adams County,2006,4891,297051,1.65,6711,407587,1.65
003,Alamosa County,2006,-118,10119,-1.17,-179,15350,-1.17
005,Arapahoe County,2006,1762,345347,0.51,2735,536051,0.51
007,Archuleta County,2006,249,8323,2.99,353,11798,2.99
009,Baca County,2006,15,4088,0.37,15,4088,0.37
011,Bent County,2006,-205,6076,-2.85,-173,6076,-2.85
013,Boulder County,2006,453,109568,0.41,1183,286133,0.41
014,Broomfield County,2006,1472,30696,4.8,2453,51152,4.8
015,Chaffee County,2006,-12,11323,-0.11,-18,16984,-0.11
017,Cheyenne County,2006,-59,1823,-3.24,-64,1977,-3.24
019,Clear Creek County,2006,-95,4592,-2.07,-192,9279,-2.07
